市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
232106,130010101,愛知県,刈谷市,小堤西池のカキツバタ群落,コヅツミニシイケノカキツバタグンラク,,,愛知県刈谷市井ケ谷町小堤西1他,,35.063099,137.057126,月火水木金土日,,,,,,日本三大カキツバタ自生地の一つです。国の天然記念物に指定されています。,,,開花時期は洲原公園第２駐車場を利用,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006415.html,国指定天然記念物
232106,130010102,愛知県,刈谷市,椎の木屋敷跡,シイノキヤシキアト,,,愛知県刈谷市銀座6-58-16他,,34.988045,136.988566,月火水木金土日,,,,,,徳川家康の生母‘於大の方’が住んだとされる屋敷跡です。,,,なし,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006420/1013612/1013597/1013259.html,市指定史跡
232106,130010103,愛知県,刈谷市,加藤与五郎生家跡,カトウヨゴロウセイカアト,,,愛知県刈谷市野田町西屋敷139-2他,,34.979949,137.02585,月火水木金土日,,,,,,フェライトの父、日本のエジソンともいわれる加藤与五郎博士の生家跡です。,,,なし,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/jinbutsu/1006401.html,
232106,130010104,愛知県,刈谷市,宮城道雄供養塔,ミヤギミチオクヨウトウ,,,愛知県刈谷市神田町3-25他,,34.988392,137.014668,月火水木金土日,,,,,,刈谷駅の東で列車から転落して亡くなった「春の海」の作曲者・宮城道雄を供養した塔です。,,,なし,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006420/1013612/1013597/1013240.html,市指定史跡
232106,130010105,愛知県,刈谷市,豊田佐吉胸像,トヨダサキチキョウゾウ,,,愛知県刈谷市城町1-1-1,,34.987986,136.984901,月火水木金土日,,,,,,亀城公園内に建てられた豊田式自動織機の発明者である豊田佐吉翁の胸像です。,,,亀城公園駐車場を利用,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006420/1013612/1013597/1013255.html,市指定史跡
232106,130010106,愛知県,刈谷市,松本奎堂碑,マツモトケイドウヒ,,,愛知県刈谷市司町2-77他,,34.985572,136.986913,月火水木金土日,,,,,,大和で倒幕の兵を挙げた天誅組の総裁・松本奎堂の旧屋敷跡にある碑です。,,,なし,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006420/1013612/1013597/1013252.html,市指定史跡
232106,130010107,愛知県,刈谷市,宍戸弥四郎碑,シシドヤシロウヒ,,,愛知県刈谷市広小路5-37-1,,34.985608,136.990553,月火水木金土日,,,,,,刈谷出身の幕末の志士で、松本奎堂らとともに天誅組として尊王倒幕の兵を大和に挙げた、宍戸弥四郎の生誕の地に建てられた碑です。,,,なし,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/kankobunka/rekishibunka/bunkazai_iseki/1006420/1013612/1013597/1013253.html,市指定史跡
232106,130010201,愛知県,刈谷市,刈谷市郷土資料館,カリヤシキョウドシリョウカン,,,愛知県刈谷市城町1-25-1,,34.987833,136.986378,火水木金土日,9:00,17:00,祝日（月曜日を含む）は開館。祝日の翌日、年末年始などは休館。,,,刈谷の民俗資料や教育に関する資料などを展示した施設です。資料館の建物は国の登録有形文化財です。,,名鉄三河線「刈谷市」駅から徒歩15分・JR東海道本線「逢妻」駅から徒歩20分,なし（亀城公園駐車場利用可）,,刈谷市郷土資料館,0566-23-1488,,,,https://www.city.kariya.lg.jp/shisetsu/bunka/kyodoshiryokan/1005322.html,国登録有形文化財（建造物）
232106,130010202,愛知県,刈谷市,刈谷市美術館,カリヤシビジュツカン,,,愛知県刈谷市住吉町4-5,,34.985592,137.005687,火水木金土日,9:00,17:00,祝日の翌日、年末年始、展示替・館内整備日などは休館。,春・秋有料展：一般1100円、学生800円冬有料展：一般500円、学生300円（常設展は無料）,,多彩な企画展を開催するほか、地域の皆さまの創作活動を発表するギャラリー（貸し展示室）としてご利用いただける施設です。,,JR東海道本線「刈谷」駅・名鉄三河線「刈谷」駅から徒歩10分,あり,エレべーター、車椅子、ベビーカーあり,刈谷市美術館,0566-23-1636,,,,https://www.city.kariya.lg.jp/museum/index.html,
232106,130010203,愛知県,刈谷市,刈谷市歴史博物館,カリヤシレキシハクブツカン,,,愛知県刈谷市逢妻町4-25-1,,34.992057,136.985439,火水木金土日,9:00,17:00,祝日（月曜日を含む）は開館。祝日の翌日、年末年始などは休館。,入場料無料,企画展示室のみ企画展毎に異なる,展示や講座、体験コーナー、工作を通して、刈谷の歴史に親しみ、見て、触れて、体験して学べる施設です。,,JR東海道本線「逢妻」駅・名鉄三河線「刈谷市」駅から徒歩15分,あり,エレべーター、車椅子、視覚障害者誘導用ブロックあり,刈谷市歴史博物館,0566-63-6100,,,,https://www.city.kariya.lg.jp/rekihaku/index.html,
232106,130020501,愛知県,刈谷市,刈谷駅前観光案内所,カリヤエキマエカンコウアンナイジョ,,,愛知県刈谷市相生町1-1-6,刈谷市産業振興センター1階,34.990747,137.01144,月火水木金土日,10:00,18:00,第2水曜日（祝日の場合は翌日）及び年末年始（12月29日～翌1月3日）は休館。,,,観光案内、イベント情報など刈谷のことなら何でも分かる便利スポットです。休憩スペースのほか、刈谷のみやげ品を詰め合わせたお土産販売をしています。,,JR東海道本線「刈谷」駅・名鉄三河線「刈谷」駅から徒歩3分,相生駐車場を利用,,刈谷駅前観光案内所,0566-45-5833,,,,http://www.kariya-infobox.jp/,
232106,130020501,愛知県,刈谷市,十朋亭,ジッポウテイ,,,愛知県刈谷市城町1-1,,34.989293,136.984646,月火水木金土日,9:00,21:00,夜間の施設予約が無い日は17：00閉館。年末年始（12月29日～翌1月3日）は休館。,,,桜の名所として知られる亀城公園内にあり、和風庭園ともよく調和し、四季を通じて市民の憩いの場として、各種会合、レクリエーション、休憩所等に幅広くご利用いただける施設です。,,JR東海道本線「逢妻」駅・名鉄三河線「刈谷市」駅から徒歩15分,亀城公園駐車場を利用,,刈谷市役所文化観光課,0566-62-1037,,,,https://www.city.kariya.lg.jp/shisetsu/bunka/jippotei/1005305.html,
232106,190020501,愛知県,刈谷市,交通児童遊園,コウツウジドウユウエン,,,愛知県刈谷市神田町3-47-1,,34.988006,137.014345,月火木金土日,9:00,16:30,春休み、お盆期間は水曜日も開園。年末年始（12月29日～翌1月3日）及び水曜日が祝日の場合その翌日は原則休園。,20円～,【大型遊具】1人50円【小型遊具】1回20円【パターゴルフ】1ラウンド1人100円,低料金で楽しめる遊具があり、子どもたちの遊び場がたくさん整備された児童遊園です。,,JR東海道本線・名鉄三河線「刈谷駅」下車、南口から徒歩約8分、刈谷市コミュニティバス「かりまる」東境線、逢妻線「交通児童遊園」バス停下車、西境線、小垣江線、東刈谷線「ひまわり」バス停から徒歩3分。,95台（普通車のみ、うち4台おもいやり専用）,車いす（1台）貸出可能。,交通児童遊園,0566-22-9371,,,,https://www.city.kariya.lg.jp/shisetsu/bunka/kotsu_jidou/index.html,
