地域広場一覧（令和6年3月31日時点）,,,,
広場区分,広場名,自治区名,広場全体面積,所在地
児童遊園,下林児童遊園,下林,708,下林町三丁目75番の一部
ちびっこ広場,寺部西ちびっこ広場,寺部,621,寺部町四丁目62番の一部
ちびっこ広場,若宮町２丁目ちびっこ広場,三区,281.92,若宮町二丁目12番1
ちびっこ広場,日之出町ちびっこ広場,東区,"1,138.00",日之出町二丁目9番7
ふれあい広場,平井町ふれあい広場,平井町,"1,255.00",平井町六丁目72番1
ちびっこ広場,栄町南ちびっこ広場,西区,403.14,栄町四丁目30番
ふれあい広場,日南なごみ広場,西区,900,日南町五丁目110番
ふれあい広場,池田町ふれあい広場,池田町,"1,473.00",池田町北投503番7の一部
ちびっこ広場（開発）,栄団地ちびっこ広場,栄町,254.51,栄町四丁目5番26
ちびっこ広場,栄町北ちびっこ広場,栄町,357.54,栄町二丁目18番1
児童遊園,朝日団地北児童遊園,西山,853,朝日町五丁目12番8の一部
ちびっこ広場（開発）,朝日団地南ちびっこ広場,西山,447,朝日町六丁目6番5
ちびっこ広場（開発）,朝日町中央ちびっこ広場,西山,171.09,朝日町五丁目4番3
ちびっこ広場（開発）,朝日町南ちびっこ広場,西山,211.32,朝日町五丁目11番18
ちびっこ広場,高原高架橋ちびっこ広場,西山,238.6,高原町一丁目1番地25の一部
ちびっこ広場（開発）,高原町７丁目ちびっこ広場,西山,280.16,高原町七丁目13番3
ふれあい広場,西山ふれあい広場,西山,"2,962.01",栄生町二丁目1番1
ちびっこ広場（開発）,横山団地ちびっこ広場,西山,590.87,横山町四丁目26番32
ちびっこ広場（開発）,横山団地南ちびっこ広場,西山,471.05,横山町四丁目38番39
ちびっこ広場（開発）,若草町ちびっこ広場,西山,315.11,若草町一丁目8番40
ちびっこ広場（開発）,京町ちびっこ広場,京町,986.85,京町三丁目112番(従前61番2)
ちびっこ広場（開発）,西山町３丁目ちびっこ広場,梅坪町,124.36,西山三丁目30番83
ちびっこ広場（開発）,上原ちびっこ広場,上原,154,上原町上原107番20
ちびっこ広場（開発）,上原南ちびっこ広場,上原,289.95,京町六丁目3番4
ふれあい広場,水源町ふれあい広場,水源町,661,水源町一丁目3番
ちびっこ広場（開発）,大清水第２ちびっこ広場,大清水,305.18,大清水町原山11番9
ちびっこ広場（開発）,大清水第３ちびっこ広場,大清水,130,大清水町原山11番55
ちびっこ広場（開発）,大清水第４ちびっこ広場,大清水,539.56,大清水町大清水184番地50
ちびっこ広場（開発）,大清水ちびっこ広場,大清水,268,大清水町原山12番29
ふれあい広場,桝塚東町ふれあい広場,桝塚東町,"2,959.00",桝塚東町西郷前43番1
ちびっこ広場（開発）,伊保原第１ちびっこ広場,伊保原,"1,214.07",浄水町南平187番302
ちびっこ広場（開発）,伊保原第３ちびっこ広場,伊保原,"1,337.06",大清水町南岬1番426
ちびっこ広場（開発）,伊保原第４ちびっこ広場,伊保原,911.98,大清水町南岬1番439
ちびっこ広場（開発）,伊保原団地ちびっこ広場,伊保原,838.82,逢妻町三丁目1番63
ちびっこ広場,桝塚西町ちびっこ広場,桝塚西町,492,桝塚西町南山97番1の一部
ちびっこ広場（開発）,向山団地北ちびっこ広場,向山,388.14,伊保町向山66番61
ちびっこ広場（開発）,向山団地南ちびっこ広場,向山,691.42,伊保町向山73番4
ちびっこ広場（開発）,朝日町北ちびっこ広場,小坂,548.98,朝日町四丁目3番21
ちびっこ広場（開発）,小坂町３丁目ちびっこ広場,小坂,451.18,小坂町三丁目5番2
ちびっこ広場,小坂町杉の子ちびっこ広場,小坂,"1,364.23",小坂町七丁目16番9
ちびっこ広場（開発）,小坂本町３丁目ちびっこ広場,小坂,181,小坂本町三丁目125番2
ちびっこ広場（開発）,洞泉寺ちびっこ広場,小坂,284,小坂町三丁目28番13
ちびっこ広場（開発）,朝日ケ丘ちびっこ広場,三軒屋,114.38,朝日ケ丘一丁目11番6
ちびっこ広場（開発）,三軒町ちびっこ広場,三軒屋,216,三軒町二丁目40番4
ちびっこ広場（開発）,朝日ケ丘３丁目ちびっこ広場,樹木,131.57,朝日ケ丘三丁目10番24
ちびっこ広場（開発）,朝日ケ丘北ちびっこ広場,樹木,199.76,朝日ケ丘五丁目30番19
ふれあい広場,青木台ふれあい広場,青木台,"6,300.99",青木町一丁目10番1
ふれあい広場,向山ふれあい広場,向山,"3,525.00",伊保町向山65番2
児童遊園,池端児童遊園,高岡町,439.64,高岡町池端79番5の一部
ちびっこ広場,前林ちびっこ広場,前林,"1,219.00",高丘新町春日81番
ちびっこ広場（開発）,下林団地ちびっこ広場,下林,330.68,下林町四丁目92番3
ちびっこ広場（開発）,下林団地南ちびっこ広場,下林,235,下林町三丁目11番4
ちびっこ広場（開発）,下林町1丁目ちびっこ広場,下林,297.15,下林町一丁目3番7
ちびっこ広場（開発）,秋葉台ちびっこ広場,長興寺,140,秋葉町七丁目23番22
ちびっこ広場（開発）,秋葉団地ちびっこ広場,長興寺,245.49,秋葉町六丁目79番34
ちびっこ広場（開発）,秋葉団地西ちびっこ広場,長興寺,683.42,秋葉町七丁目10番37
ちびっこ広場（開発）,秋葉東ちびっこ広場,長興寺,206.75,秋葉町七丁目13番60
ちびっこ広場,天王団地ちびっこ広場,宮口上,771.66,久岡町五丁目20番12
ちびっこ広場,神明社ちびっこ広場,西岡町,940,西岡町裏畑3番1の一部
ちびっこ広場,駒場町東ちびっこ広場,駒場,611.78,駒場町東9番2
ちびっこ広場（開発）,宮上団地ちびっこ広場,宮口上,616.57,宮上町三丁目8番23
ちびっこ広場（開発）,宮上団地西ちびっこ広場,宮口上,588.07,宮上町二丁目106番52
ちびっこ広場（開発）,汐見町ちびっこ広場,宮口一色,179,汐見町二丁目24番28
ちびっこ広場,中田ちびっこ広場,中田,"1,095.60",中田町高砂53番16の一部
ふれあい広場,宮口一色ふれあい広場,宮口一色,"9,671.00",白山町七曲12番52
ちびっこ広場（開発）,宮口団地ちびっこ広場,宮口一色,636.55,宮口町二丁目2番10
ちびっこ広場（開発）,新町２丁目ちびっこ広場,宮口新田,176,新町二丁目30番11
ちびっこ広場（開発）,新町３丁目ちびっこ広場,宮口新田,149.67,新町三丁目77番13
ふれあい広場,中田ふれあい広場,中田,"5,589.40",中田町高砂53番16の一部
児童遊園,宮町児童遊園,宮口新田,"1,710.25",宮町五丁目13番3の一部
ちびっこ広場（開発）,宮町第１ちびっこ広場,宮口新田,393.2,宮町四丁目8番29
