開発緑地一覧,,,,,,
緑地名,構成筆,町名,字名,番地,枝番,台帳地積（㎡）
アイルタウン百々住宅緑地,百々町８丁目３２番１８６,百々町,８丁目,32,186,"4,007.00"
アイルタウン百々住宅緑地,百々町８丁目３２番１９４,百々町,８丁目,32,194,190
アイルタウン百々住宅緑地,百々町８丁目３２番１９８,百々町,８丁目,32,198,910
アイルタウン百々住宅緑地,百々町８丁目３２番１９２,百々町,８丁目,32,192,"1,077.00"
アイルタウン百々住宅緑地,百々町８丁目３２番１９０,百々町,８丁目,32,190,575
アイルタウン百々住宅緑地,百々町８丁目３２番１８７,百々町,８丁目,32,187,"1,735.00"
秋葉町７丁目緑地,秋葉町７丁目１０番１０,秋葉町,７丁目,10,10,976
秋葉町７丁目緑地,秋葉町７丁目１０番２７,秋葉町,７丁目,10,27,888
泉緑地,泉町３丁目２番１１６,泉町,３丁目,2,116,"1,455.00"
市木町北山緑地,市木町５丁目１９番９,市木町,５丁目,19,9,68
市木町北山緑地,市木町５丁目１９番５,市木町,５丁目,19,5,36
市木町桑原緑地,市木町５丁目１９番１,市木町,５丁目,19,1,404
市木町桑原緑地,市木町５丁目１９番２,市木町,５丁目,19,2,794
市木町桑原緑地,市木町５丁目１９番３,市木町,５丁目,19,3,"1,960.00"
市木南緑地,市木町９丁目１９番,市木町,９丁目,19,0,520
市木南緑地,市木町１０丁目１０番８,市木町,１０丁目,10,8,"3,889.00"
市木南緑地,市木町１０丁目１０番９,市木町,１０丁目,10,9,"3,219.00"
市木南緑地,市木町１０丁目２０番,市木町,１０丁目,20,0,642
市木南緑地,市木町１０丁目２１番１,市木町,１０丁目,21,1,"16,486.00"
市木南緑地,市木町１０丁目２２番１,市木町,１０丁目,22,1,"5,293.00"
市木南緑地,市木町１０丁目２２番４,市木町,１０丁目,22,4,"1,440.00"
市木南緑地,市木町１０丁目２２番６,市木町,１０丁目,22,6,624
伊保原レジデンスパーク緑地,浄水町南平１８７番９,浄水町,南平,187,9,403
伊保原レジデンスパーク緑地,花丘町２丁目５０番１,花丘町,２丁目,50,1,"1,689.00"
伊保原レジデンスパーク緑地,浄水町南平１８７番１０,浄水町,南平,187,10,502
伊保原レジデンスパーク緑地,浄水町南平１８７番１４４,浄水町,南平,187,144,1.16
伊保原レジデンスパーク緑地,浄水町南平１８７番３７３,浄水町,南平,187,373,"2,828.00"
伊保原レジデンスパーク緑地,浄水町南平１８７番３７７,浄水町,南平,187,377,144
伊保原レジデンスパーク緑地,浄水町南平１８７番３８７,浄水町,南平,187,387,"8,000.00"
