市街地緑地一覧,,,,,,
緑地名,構成筆,町名,字名,番地,枝番,台帳地積（㎡）
市街地緑地（猿投地区）,平戸橋町永和25番7,平戸橋町,永和,25,7,2078
市街地緑地（猿投地区）,井上町１１丁目10番27,井上町,１１丁目,10,27,2982
市街地緑地（猿投地区）,井上町１１丁目10番28,井上町,１１丁目,10,28,1764
市街地緑地（猿投地区）,井上町１１丁目10番52,井上町,１１丁目,10,52,222
市街地緑地（猿投地区）,井上町１１丁目10番56,井上町,１１丁目,10,56,208
市街地緑地（猿投地区）,井上町１１丁目21番2,井上町,１１丁目,21,2,238
市街地緑地（猿投地区）,越戸町松葉61番2,越戸町,松葉,61,2,374.74
市街地緑地（猿投地区）,越戸町松葉61番6,越戸町,松葉,61,6,52
市街地緑地（猿投地区）,井上町１３丁目30番,井上町,１３丁目,30,,1094
市街地緑地（猿投地区）,井上町１３丁目31番2,井上町,１３丁目,31,2,476
市街地緑地（猿投地区）,井上町１３丁目35番5,井上町,１３丁目,35,5,360
市街地緑地（猿投地区）,井上町１３丁目46番,井上町,１３丁目,46,,1384
市街地緑地（猿投地区）,井上町１３丁目47番1,井上町,１３丁目,47,1,600
市街地緑地（高岡地区）,中根町町田26番,中根町,町田,26,0,224
市街地緑地（高岡地区）,中根町永池118番1,中根町,永池,118,1,343
市街地緑地（高岡地区）,竹町宮下４０番,竹町,宮下,40,,148
市街地緑地（高岡地区）,竹町宮下４１番,竹町,宮下,41,,532
市街地緑地（高岡地区）,竹町宮下４３番,竹町,宮下,43,,195.04
市街地緑地（高橋地区）,上野町７丁目48番,上野町,７丁目,48,0,333
市街地緑地（高橋地区）,広川町１１丁目74番,広川町,１１丁目,74,0,502
市街地緑地（高橋地区）,広川町８丁目59番1,広川町,８丁目,59,1,815
市街地緑地（高橋地区）,広川町８丁目59番2,広川町,８丁目,59,2,727
市街地緑地（高橋地区）,市木町２丁目11番13,市木町,２丁目,11,13,55.18
市街地緑地（高橋地区）,市木町日影64番1,市木町,日影,64,1,206
市街地緑地（高橋地区）,市木町日影64番3,市木町,日影,64,3,192
市街地緑地（高橋地区）,市木町１丁目26番7,市木町,南山,16,356,400
市街地緑地（挙母地区）,金谷町３丁目3番,金谷町,３丁目,3,0,82
市街地緑地（挙母地区）,小坂本町８丁目49番1,小坂本町,８丁目,49,1,126.34
市街地緑地（挙母地区）,小坂本町８丁目50番1,小坂本町,８丁目,50,1,179.52
市街地緑地（挙母地区）,小坂本町８丁目51番1,小坂本町,８丁目,51,1,379
市街地緑地（挙母地区）,平和町２丁目15番3,平和町,２丁目,15,3,0.85
市街地緑地（挙母地区）,平和町２丁目16番1,平和町,２丁目,16,1,184
市街地緑地（挙母地区）,平和町２丁目17番1,平和町,２丁目,17,1,1353
市街地緑地（挙母地区）,平和町２丁目17番3,平和町,２丁目,17,3,533
市街地緑地（挙母地区）,平和町２丁目17番6,平和町,２丁目,17,6,153
市街地緑地（挙母地区）,平和町２丁目17番8,平和町,２丁目,17,8,20
市街地緑地（挙母地区）,平和町２丁目17番10,平和町,２丁目,17,10,196
市街地緑地（挙母地区）,平和町５丁目4番1,平和町,５丁目,4,1,248
市街地緑地（上郷地区）,鴛鴨町上高根32番5,鴛鴨町,上高根,32,5,90
市街地緑地（上郷地区）,鴛鴨町下大岨1番2,鴛鴨町,下大岨,1,2,63
市街地緑地（上郷地区）,鴛鴨町上高根32番15,鴛鴨町,上高根,32,15,459
市街地緑地（上郷地区）,鴛鴨町上高根32番18,鴛鴨町,上高根,32,18,55
市街地緑地（上郷地区）,鴛鴨町下大岨1番1,鴛鴨町,下大岨,1,1,329
市街地緑地（松平地区）,岩倉町平古11番3,岩倉町,平古,11,3,5132
市街地緑地（松平地区）,岩倉町平古11番32,岩倉町,平古,11,32,45
市街地緑地（松平地区）,岩倉町平古11番33,岩倉町,平古,11,33,228
