都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
232114,1,愛知県,豊田市,梅坪公園,ｳﾒﾂﾎﾞｺｳｴﾝ,Umetsubo park,豊田市東梅坪町10丁目7番地7,,,35.0996,137.16445,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,2,愛知県,豊田市,陣中公園,ｼﾞﾝﾅｶｺｳｴﾝ,Jinnaka park,豊田市陣中町2丁目10番地１,,,35.09486,137.16528,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,3,愛知県,豊田市,高橋西公園,ﾀｶﾊｼﾆｼｺｳｴﾝ,Takahashi park,豊田市高上1丁目11番地１,,,35..9234,137.18152,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,4,愛知県,豊田市,高橋東公園,ﾀｶﾊｼﾋｶﾞｼｺｳｴﾝ,Takahashihigashi park,豊田市高上2丁目15番地1,,,35.09154,137.1854,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,5,愛知県,豊田市,ぐみのき公園,ｸﾞﾐﾉｷｺｳｴﾝ,Guminoki park,豊田市上郷町2丁目9番地１,,,35.02118,137.13164,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,6,愛知県,豊田市,上野公園,ｳｴﾉｺｳｴﾝ,Ueno park,豊田市上郷町4丁目4番地1,,,35.01017,137.13253,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,7,愛知県,豊田市,小畔公園,ｺｸﾃｺｳｴﾝ,Kokute park,豊田市上郷町4丁目8番地１,,,35.00772,137.13266,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,8,愛知県,豊田市,神田公園,ｶﾝﾀﾞｺｳｴﾝ,Kanda park,豊田市神田町1丁目10番地,,,35.08147,137.1557,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,9,愛知県,豊田市,寿公園,ｺﾄﾌﾞｷｺｳｴﾝ,Kotobuki park,豊田市小坂本町1丁目1番地,,,35.08883,137.15122,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
232114,10,愛知県,豊田市,栄町公園,ｻｶｴﾏﾁｺｳｴﾝ,Sakaemachi park,豊田市栄町5丁目16番地,,,35.09409,137.15272,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,11,愛知県,豊田市,平芝前公園,ﾋﾗｼﾊﾞﾏｴｺｳｴﾝ,Hirashibamae park,豊田市平芝町2丁目4番地,,,35.09406,137.15689,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,12,愛知県,豊田市,岩畑公園,ｲﾜﾊﾀｺｳｴﾝ,Iwahata park,豊田市平芝町3丁目6番地,,,35.0959,137.15838,2,1,1,0,2,2,0,0,0,0,1,有,無,無,,,,,,
232114,13,愛知県,豊田市,宝来北公園,ﾎｳﾗｲｷﾀｺｳｴﾝ,Houraikita park,豊田市美里3丁目19番地,,,35.08228,137.18863,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,14,愛知県,豊田市,唐池公園,ｶﾗｲｹｺｳｴﾝ,Karaike park,豊田市美里2丁目21番地,,,35.08098,137.18652,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,15,愛知県,豊田市,南山公園,ﾐﾅﾐﾔﾏｺｳｴﾝ,Minamiyama park,豊田市美里1丁目15番地,,,35.08071,137.18326,2,2,0,0,0,0,0,0,0,0,1,有,有,無,,,,,,
232114,16,愛知県,豊田市,白草公園,ｼﾗｸｻｺｳｴﾝ,Shirakusa park,豊田市美里6丁目5番地,,,35.07928,137.17909,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,17,愛知県,豊田市,薮間公園,ﾔﾌﾞﾏｺｳｴﾝ,Yabuma park,豊田市上郷町薮間3番地1,,,35.01162,137.13706,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,18,愛知県,豊田市,石平公園,ｲｼﾋﾗｺｳｴﾝ,Ishihira park,豊田市平戸橋町平戸4番地,,,35.11485,137.18395,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,19,愛知県,豊田市,厳島公園,ｲﾂｸｼﾏｺｳｴﾝ,Itsukushima park,豊田市住吉町2丁目9番地1,,,35.03575,137.11664,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,20,愛知県,豊田市,住吉公園,ｽﾐﾖｼｺｳｴﾝ,Sumiyoshi park,豊田市住吉町1丁目7番地1,,,35.03712,137.1207,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,21,愛知県,豊田市,山之手３丁目公園,ﾔﾏﾉﾃ3ﾁｮｳﾒｺｳｴﾝ,Yamanote3chome park,豊田市山之手3丁目130番地3,,,35.0575,137.15053,2,1,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
232114,22,愛知県,豊田市,山之手４丁目公園,ﾔﾏﾉﾃ4ﾁｮｳﾒｺｳｴﾝ,Yamanote4chome park,豊田市山之手4丁目1番地,,,35.05675,137.14849,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,23,愛知県,豊田市,大徳公園,ﾀﾞｲﾄｸｺｳｴﾝ,Daitoku park,豊田市山之手8丁目155番地,,,35.0545,137.14799,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
